,target_shift1,close,close_1shift,close_2shift,close_3shift,close_4shift,close_5shift,close_mv10,close_mv20,close_mv5,consec_fore,consec_inst,dayofmonth_freq_cos,dayofmonth_freq_sin,dow,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,msci_emerging,nasdaq,obv,obv_ema,semicon_index,snp500,sse_composite_index,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,usdtoaud,usdtocny,usdtojpy,usdtokrw,volume,volume_mv10,volume_mv20,volume_mv5
consec_fore,0.238,0.243,-0.024,-0.036,-0.03,-0.03,-0.049,-0.036,-0.149,0.03,inf,-0.062,0.055,-0.345,0.054,0.556,0.965,5.089,2.649,1.955,3.781,0.163,-0.228,-0.217,-0.35,-0.141,-0.263,-0.201,-0.285,0.008,-0.083,0.21,0.262,0.071,0.253,0.129,0.299,0.347,-0.041,-0.066,-0.0,0.199,-0.07,-0.007,0.256,0.293,-0.071,-0.068,-0.036
consec_inst,0.588,0.583,0.324,0.152,0.025,-0.07,-0.153,-0.018,-0.244,0.214,-0.062,inf,-0.0,-0.116,0.553,1.2,1.671,0.143,-0.022,-0.071,0.012,3.991,2.662,2.067,3.504,0.074,-0.012,0.03,-0.054,0.43,-0.181,0.213,0.582,0.034,0.197,0.428,-0.02,0.642,0.269,0.068,0.424,0.08,-0.401,0.525,0.314,0.609,0.301,0.135,0.429
dayofmonth_freq_cos,0.714,0.776,0.804,0.741,0.615,0.38,0.08,0.087,0.122,0.729,0.055,-0.0,inf,-inf,inf,0.933,0.897,-0.093,0.203,-0.139,0.069,0.067,-0.117,0.487,0.007,inf,inf,inf,inf,0.027,inf,inf,1.095,1.25,inf,inf,inf,-0.258,0.037,-0.756,-0.234,-inf,-inf,inf,-inf,-0.309,0.028,-0.953,-0.274
dayofmonth_freq_sin,-0.264,-0.018,0.232,0.448,0.607,0.703,0.769,0.589,0.273,0.448,-0.345,-0.116,-inf,inf,-inf,-0.054,-0.467,-0.198,-0.059,0.079,-0.196,0.035,-0.045,-0.265,0.066,-inf,inf,inf,inf,-0.119,-inf,-inf,-0.205,-1.647,-inf,-inf,inf,0.239,0.119,0.516,0.024,-inf,inf,-inf,inf,0.283,0.117,0.586,0.016
dow,0.293,0.291,0.286,0.277,0.272,0.269,0.267,0.259,0.263,0.271,0.054,0.553,inf,-inf,inf,0.104,0.153,-0.068,-0.023,-0.018,-0.034,0.493,0.428,0.364,0.48,inf,inf,inf,inf,0.233,-inf,inf,2.104,2.006,inf,inf,-inf,-0.61,-0.586,-0.546,-0.606,inf,-inf,inf,inf,-0.847,-0.812,-0.759,-0.841
fast_d,1.65,1.654,1.486,1.225,0.884,0.49,0.067,0.327,-1.019,1.182,0.556,1.2,0.933,-0.054,0.104,inf,52.588,0.754,1.061,0.78,1.079,1.298,1.73,1.462,1.668,0.498,-0.031,-0.387,0.293,0.424,0.762,-0.084,0.378,-0.633,0.221,-0.095,0.097,1.61,1.054,0.33,1.451,-0.679,0.064,0.096,-0.712,1.368,0.996,0.456,1.283
fast_k,1.622,1.609,1.098,0.571,0.04,-0.443,-0.883,-0.397,-1.47,0.672,0.965,1.671,0.897,-0.467,0.153,52.588,inf,1.404,1.159,0.746,1.38,1.855,1.805,1.352,1.914,0.538,-0.266,-0.527,0.081,0.466,0.856,-0.035,0.344,-0.778,0.257,-0.06,0.112,1.647,0.767,0.039,1.238,-0.696,0.0,0.167,-0.661,1.429,0.791,0.234,1.14
fore,0.408,0.391,-0.381,-0.189,-0.174,-0.187,-0.196,-0.171,-0.306,-0.082,5.089,0.143,-0.093,-0.198,-0.068,0.754,1.404,inf,4.811,3.472,6.689,0.439,-0.008,-0.041,-0.089,0.09,-0.077,-0.058,-0.115,-0.359,0.127,0.028,0.157,-0.114,0.075,-0.053,0.09,0.492,-0.061,-0.113,0.026,0.056,0.23,-0.111,-0.027,0.446,-0.059,-0.088,0.025
fore_mv10,0.381,0.402,0.321,0.272,0.22,0.17,0.11,0.129,-0.107,0.279,2.649,-0.022,0.203,-0.059,-0.023,1.061,1.159,4.811,inf,8.23,9.84,0.129,-0.053,-0.055,-0.057,0.025,-0.016,-0.028,0.004,0.084,0.041,0.126,0.227,-0.023,0.208,0.02,0.121,0.395,0.164,-0.04,0.248,0.078,0.174,-0.1,-0.012,0.329,0.134,-0.046,0.203
fore_mv20,0.362,0.378,0.336,0.315,0.293,0.274,0.252,0.264,0.089,0.323,1.955,-0.071,-0.139,0.079,-0.018,0.78,0.746,3.472,8.23,inf,5.286,0.059,-0.08,-0.075,-0.069,-0.016,-0.015,-0.024,-0.019,0.045,-0.058,0.121,0.238,0.053,0.159,0.039,0.012,0.349,0.197,0.108,0.244,0.132,0.199,-0.061,0.066,0.281,0.147,0.078,0.189
fore_mv5,0.403,0.417,0.251,0.133,0.015,-0.126,-0.264,-0.025,-0.223,0.147,3.781,0.012,0.069,-0.196,-0.034,1.079,1.38,6.689,9.84,5.286,inf,0.202,-0.055,-0.039,0.007,0.07,-0.046,-0.036,-0.021,0.122,0.085,0.102,0.201,-0.069,0.169,-0.005,0.117,0.443,0.043,-0.099,0.21,0.061,0.198,-0.104,-0.035,0.383,0.026,-0.089,0.186
inst,0.49,0.461,-0.239,-0.361,-0.427,-0.454,-0.504,-0.406,-0.575,-0.176,0.163,3.991,0.067,0.035,0.493,1.298,1.855,0.439,0.129,0.059,0.202,inf,4.718,3.172,7.104,0.172,0.0,-0.0,0.033,0.317,-0.13,0.246,0.472,-0.195,0.264,0.394,-0.124,0.314,-0.033,-0.169,0.005,0.096,-0.257,0.503,0.349,0.284,0.026,-0.079,0.027
inst_mv10,0.543,0.541,0.465,0.382,0.289,0.185,0.072,0.124,-0.263,0.38,-0.228,2.662,-0.117,-0.045,0.428,1.73,1.805,-0.008,-0.053,-0.08,-0.055,4.718,inf,8.881,11.0,0.202,0.104,0.057,0.127,0.262,-0.085,0.155,0.511,0.004,0.177,0.322,-0.056,0.39,0.153,0.023,0.312,-0.011,-0.316,0.451,0.113,0.34,0.149,0.061,0.283
inst_mv20,0.57,0.581,0.546,0.499,0.449,0.397,0.344,0.377,0.073,0.5,-0.217,2.067,0.487,-0.265,0.364,1.462,1.352,-0.041,-0.055,-0.075,-0.039,3.172,8.881,inf,5.056,0.278,0.203,0.172,0.241,0.079,-0.013,0.083,0.471,0.14,0.171,0.246,0.086,0.43,0.337,0.14,0.397,-0.047,-0.251,0.343,-0.021,0.371,0.302,0.139,0.349
inst_mv5,0.504,0.504,0.366,0.196,0.005,-0.21,-0.423,-0.147,-0.45,0.186,-0.35,3.504,0.007,0.066,0.48,1.668,1.914,-0.089,-0.057,-0.069,0.007,7.104,11.0,5.056,inf,0.129,0.039,0.029,0.079,0.383,-0.131,0.217,0.524,-0.107,0.219,0.376,-0.166,0.34,0.072,-0.084,0.171,0.043,-0.305,0.491,0.223,0.295,0.1,-0.021,0.164
kospi,0.846,0.879,0.837,0.796,0.76,0.728,0.698,0.738,0.613,0.807,-0.141,0.074,inf,-inf,inf,0.498,0.538,0.09,0.025,-0.016,0.07,0.172,0.202,0.278,0.129,inf,inf,inf,inf,-0.614,inf,inf,0.648,0.388,inf,inf,inf,-0.087,-0.025,-0.024,0.03,inf,-inf,inf,-inf,-0.268,-0.172,-0.154,-0.118
kospi_mv10,0.756,0.778,0.796,0.806,0.812,0.815,0.81,0.795,0.698,0.802,-0.263,-0.012,inf,inf,inf,-0.031,-0.266,-0.077,-0.016,-0.015,-0.046,0.0,0.104,0.203,0.039,inf,inf,inf,inf,-0.385,inf,inf,0.667,0.583,inf,inf,inf,0.131,0.017,0.009,0.093,inf,-inf,inf,-inf,-0.012,-0.14,-0.134,-0.058
kospi_mv20,0.684,0.703,0.718,0.73,0.744,0.748,0.754,0.746,0.716,0.728,-0.201,0.03,inf,inf,inf,-0.387,-0.527,-0.058,-0.028,-0.024,-0.036,-0.0,0.057,0.172,0.029,inf,inf,inf,inf,-0.213,-inf,inf,0.845,0.847,inf,inf,inf,0.093,0.063,-0.017,0.089,inf,-inf,inf,-inf,-0.046,-0.091,-0.176,-0.056
kospi_mv5,0.796,0.825,0.837,0.844,0.834,0.81,0.773,0.78,0.657,0.832,-0.285,-0.054,inf,inf,inf,0.293,0.081,-0.115,0.004,-0.019,-0.021,0.033,0.127,0.241,0.079,inf,inf,inf,inf,-0.533,inf,inf,0.634,0.47,inf,inf,inf,0.028,0.011,-0.014,-0.008,inf,-inf,inf,-inf,-0.126,-0.142,-0.152,-0.17
mfi,-0.019,-0.01,-0.005,-0.11,-0.177,-0.221,-0.256,-0.211,-0.324,-0.108,0.008,0.43,0.027,-0.119,0.233,0.424,0.466,-0.359,0.084,0.045,0.122,0.317,0.262,0.079,0.383,-0.614,-0.385,-0.213,-0.533,inf,-0.618,0.125,0.348,0.183,0.125,0.251,0.141,0.844,0.6,-0.163,1.016,0.373,-0.209,0.444,0.632,0.902,0.679,-0.116,1.107
msci_emerging,0.027,0.019,-0.015,-0.046,-0.071,-0.088,-0.105,-0.066,-0.113,-0.032,-0.083,-0.181,inf,-inf,-inf,0.762,0.856,0.127,0.041,-0.058,0.085,-0.13,-0.085,-0.013,-0.131,inf,inf,-inf,inf,-0.618,inf,-inf,-1.817,-1.99,-inf,-inf,inf,0.475,0.55,0.572,0.526,-inf,-inf,-inf,-inf,0.646,0.732,0.761,0.715
nasdaq,0.269,0.275,0.27,0.265,0.263,0.263,0.262,0.252,0.253,0.261,0.21,0.213,inf,-inf,inf,-0.084,-0.035,0.028,0.126,0.121,0.102,0.246,0.155,0.083,0.217,inf,inf,inf,inf,0.125,-inf,inf,1.997,1.855,inf,inf,inf,-0.571,-0.507,-0.422,-0.556,inf,-inf,inf,inf,-0.803,-0.707,-0.599,-0.777
obv,1.07,1.136,1.113,1.083,1.05,1.026,1.004,1.029,0.955,1.075,0.262,0.582,1.095,-0.205,2.104,0.378,0.344,0.157,0.227,0.238,0.201,0.472,0.511,0.471,0.524,0.648,0.667,0.845,0.634,0.348,-1.817,1.997,inf,11.42,2.136,2.111,0.725,0.065,0.076,0.108,0.061,1.748,-1.346,2.268,1.936,-0.242,-0.204,-0.15,-0.235
obv_ema,0.702,0.736,0.763,0.791,0.818,0.845,0.866,0.841,0.897,0.787,0.071,0.034,1.25,-1.647,2.006,-0.633,-0.778,-0.114,-0.023,0.053,-0.069,-0.195,0.004,0.14,-0.107,0.388,0.583,0.847,0.47,0.183,-1.99,1.855,11.42,inf,1.946,2.022,0.975,-0.276,-0.181,-0.105,-0.232,1.769,-1.358,2.152,1.825,-0.549,-0.452,-0.368,-0.503
semicon_index,0.325,0.322,0.307,0.292,0.286,0.282,0.278,0.272,0.234,0.291,0.253,0.197,inf,-inf,inf,0.221,0.257,0.075,0.208,0.159,0.169,0.264,0.177,0.171,0.219,inf,inf,inf,inf,0.125,-inf,inf,2.136,1.946,inf,inf,inf,-0.652,-0.595,-0.535,-0.639,inf,-inf,inf,inf,-0.887,-0.811,-0.731,-0.865
snp500,0.263,0.268,0.264,0.263,0.261,0.261,0.261,0.25,0.258,0.255,0.129,0.428,inf,-inf,inf,-0.095,-0.06,-0.053,0.02,0.039,-0.005,0.394,0.322,0.246,0.376,inf,inf,inf,inf,0.251,-inf,inf,2.111,2.022,inf,inf,inf,-0.59,-0.562,-0.508,-0.589,inf,-inf,inf,inf,-0.835,-0.789,-0.717,-0.827
sse_composite_index,0.126,0.166,0.138,0.128,0.113,0.129,0.119,0.115,0.11,0.136,0.299,-0.02,inf,inf,-inf,0.097,0.112,0.09,0.121,0.012,0.117,-0.124,-0.056,0.086,-0.166,inf,inf,inf,inf,0.141,inf,inf,0.725,0.975,inf,inf,inf,0.083,0.039,-0.0,0.094,inf,-inf,-inf,inf,0.039,0.005,-0.055,0.062
trading_amount,1.443,1.455,1.192,1.018,0.896,0.818,0.767,0.977,0.702,1.127,0.347,0.642,-0.258,0.239,-0.61,1.61,1.647,0.492,0.395,0.349,0.443,0.314,0.39,0.43,0.34,-0.087,0.131,0.093,0.028,0.844,0.475,-0.571,0.065,-0.276,-0.652,-0.59,0.083,inf,5.104,3.317,8.779,-0.496,0.111,-0.735,-0.657,35.0,4.75,3.092,8.012
trading_amount_mv10,1.477,1.5,1.502,1.48,1.447,1.396,1.331,1.327,1.029,1.471,-0.041,0.269,0.037,0.119,-0.586,1.054,0.767,-0.061,0.164,0.197,0.043,-0.033,0.153,0.337,0.072,-0.025,0.017,0.063,0.011,0.6,0.55,-0.507,0.076,-0.181,-0.595,-0.562,0.039,5.104,inf,11.26,14.877,-0.454,0.039,-0.719,-0.571,4.781,20.188,8.289,10.932
trading_amount_mv20,1.422,1.44,1.454,1.466,1.473,1.476,1.463,1.455,1.244,1.473,-0.066,0.068,-0.756,0.516,-0.546,0.33,0.039,-0.113,-0.04,0.108,-0.099,-0.169,0.023,0.14,-0.084,-0.024,0.009,-0.017,-0.014,-0.163,0.572,-0.422,0.108,-0.105,-0.535,-0.508,-0.0,3.317,11.26,inf,5.936,-0.424,-0.09,-0.667,-0.499,3.008,7.99,14.358,5.0
trading_amount_mv5,1.464,1.504,1.48,1.398,1.281,1.127,0.962,1.178,0.863,1.37,-0.0,0.424,-0.234,0.024,-0.606,1.451,1.238,0.026,0.248,0.244,0.21,0.005,0.312,0.397,0.171,0.03,0.093,0.089,-0.008,1.016,0.526,-0.556,0.061,-0.232,-0.639,-0.589,0.094,8.779,14.877,5.936,inf,-0.487,0.075,-0.737,-0.624,7.951,11.676,5.194,24.949
usdtoaud,0.128,0.132,0.142,0.16,0.176,0.19,0.204,0.181,0.23,0.151,0.199,0.08,-inf,-inf,inf,-0.679,-0.696,0.056,0.078,0.132,0.061,0.096,-0.011,-0.047,0.043,inf,inf,inf,inf,0.373,-inf,inf,1.748,1.769,inf,inf,inf,-0.496,-0.454,-0.424,-0.487,inf,-inf,inf,inf,-0.689,-0.626,-0.596,-0.674
usdtocny,-0.166,-0.179,-0.178,-0.163,-0.154,-0.157,-0.168,-0.148,-0.165,-0.159,-0.07,-0.401,-inf,inf,-inf,0.064,0.0,0.23,0.174,0.199,0.198,-0.257,-0.316,-0.251,-0.305,-inf,-inf,-inf,-inf,-0.209,-inf,-inf,-1.346,-1.358,-inf,-inf,-inf,0.111,0.039,-0.09,0.075,-inf,inf,-inf,-inf,0.228,0.138,-0.004,0.184
usdtojpy,0.15,0.147,0.142,0.135,0.126,0.117,0.112,0.092,0.069,0.119,-0.007,0.525,inf,-inf,inf,0.096,0.167,-0.111,-0.1,-0.061,-0.104,0.503,0.451,0.343,0.491,inf,inf,inf,inf,0.444,-inf,inf,2.268,2.152,inf,inf,-inf,-0.735,-0.719,-0.667,-0.737,inf,-inf,inf,inf,-0.983,-0.953,-0.887,-0.987
usdtokrw,0.007,0.01,0.014,0.026,0.037,0.049,0.06,0.027,0.071,0.01,0.256,0.314,-inf,inf,inf,-0.712,-0.661,-0.027,-0.012,0.066,-0.035,0.349,0.113,-0.021,0.223,-inf,-inf,-inf,-inf,0.632,-inf,inf,1.936,1.825,inf,inf,inf,-0.657,-0.571,-0.499,-0.624,inf,-inf,inf,inf,-0.894,-0.767,-0.67,-0.849
volume,0.815,0.826,0.618,0.492,0.403,0.342,0.299,0.46,0.252,0.575,0.293,0.609,-0.309,0.283,-0.847,1.368,1.429,0.446,0.329,0.281,0.383,0.284,0.34,0.371,0.295,-0.268,-0.012,-0.046,-0.126,0.902,0.646,-0.803,-0.242,-0.549,-0.887,-0.835,0.039,35.0,4.781,3.008,7.951,-0.689,0.228,-0.983,-0.894,inf,5.28,3.376,8.907
volume_mv10,0.833,0.843,0.833,0.814,0.781,0.74,0.693,0.696,0.486,0.812,-0.071,0.301,0.028,0.117,-0.812,0.996,0.791,-0.059,0.134,0.147,0.026,0.026,0.149,0.302,0.1,-0.172,-0.14,-0.091,-0.142,0.679,0.732,-0.707,-0.204,-0.452,-0.811,-0.789,0.005,4.75,20.188,7.99,11.676,-0.626,0.138,-0.953,-0.767,5.28,inf,11.657,15.309
volume_mv20,0.806,0.812,0.816,0.816,0.812,0.807,0.795,0.795,0.633,0.82,-0.068,0.135,-0.953,0.586,-0.759,0.456,0.234,-0.088,-0.046,0.078,-0.089,-0.079,0.061,0.139,-0.021,-0.154,-0.134,-0.176,-0.152,-0.116,0.761,-0.599,-0.15,-0.368,-0.731,-0.717,-0.055,3.092,8.289,14.358,5.194,-0.596,-0.004,-0.887,-0.67,3.376,11.657,inf,6.066
volume_mv5,0.828,0.845,0.819,0.758,0.67,0.556,0.438,0.592,0.375,0.738,-0.036,0.429,-0.274,0.016,-0.841,1.283,1.14,0.025,0.203,0.189,0.186,0.027,0.283,0.349,0.164,-0.118,-0.058,-0.056,-0.17,1.107,0.715,-0.777,-0.235,-0.503,-0.865,-0.827,0.062,8.012,10.932,5.0,24.949,-0.674,0.184,-0.987,-0.849,8.907,15.309,6.066,inf
