,target_shift1,close,close_1shift,close_2shift,close_3shift,close_4shift,close_5shift,close_mv10,close_mv20,close_mv5,consec_fore,consec_inst,dayofmonth_freq_cos,dayofmonth_freq_sin,dow,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,msci_emerging,nasdaq,obv,obv_ema,semicon_index,snp500,sse_composite_index,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,usdtoaud,usdtocny,usdtojpy,usdtokrw,volume,volume_mv10,volume_mv20,volume_mv5
kospi_mv20,0.242,0.249,0.255,0.26,0.265,0.267,0.27,0.279,0.282,0.265,-0.031,0.005,0.01,0.045,0.426,-0.086,-0.099,-0.006,-0.007,-0.008,-0.007,-0.0,0.015,0.059,0.006,0.827,0.952,1.0,0.895,-0.044,-0.042,0.34,0.25,0.261,0.261,0.408,0.074,0.017,0.019,-0.006,0.023,0.29,-0.15,0.028,-0.019,-0.008,-0.027,-0.062,-0.014
kospi_mv5,0.258,0.268,0.273,0.275,0.272,0.264,0.252,0.269,0.245,0.278,-0.043,-0.009,0.138,0.048,0.359,0.065,0.015,-0.012,0.001,-0.006,-0.004,0.004,0.033,0.083,0.016,0.936,0.968,0.895,1.0,-0.104,0.143,0.26,0.166,0.134,0.274,0.311,0.044,0.005,0.003,-0.005,-0.002,0.073,-0.1,0.043,-0.204,-0.021,-0.039,-0.052,-0.039
mfi,-0.004,-0.002,-0.001,-0.023,-0.037,-0.046,-0.053,-0.045,-0.07,-0.023,0.001,0.058,0.003,-0.015,0.045,0.087,0.083,-0.033,0.017,0.01,0.02,0.032,0.05,0.017,0.062,-0.116,-0.077,-0.044,-0.104,1.0,-0.118,0.026,0.073,0.038,0.024,0.051,0.026,0.114,0.129,-0.035,0.191,0.078,-0.039,0.083,0.127,0.12,0.146,-0.025,0.207
msci_emerging,0.013,0.009,-0.007,-0.022,-0.034,-0.042,-0.05,-0.033,-0.056,-0.016,-0.013,-0.031,0.073,-0.07,-0.57,0.157,0.149,0.013,0.01,-0.018,0.016,-0.016,-0.021,-0.004,-0.026,0.24,0.069,-0.042,0.143,-0.118,1.0,-0.464,-0.507,-0.569,-0.363,-0.61,0.233,0.095,0.175,0.21,0.144,-0.761,-0.071,-0.583,-0.811,0.115,0.216,0.261,0.178
nasdaq,0.142,0.145,0.143,0.14,0.139,0.139,0.138,0.137,0.142,0.14,0.035,0.036,0.091,-0.093,0.77,-0.017,-0.006,0.003,0.031,0.039,0.02,0.031,0.039,0.027,0.044,0.28,0.27,0.34,0.26,0.026,-0.464,1.0,0.637,0.651,0.919,0.917,0.329,-0.14,-0.185,-0.176,-0.179,0.794,-0.252,0.637,0.746,-0.179,-0.239,-0.236,-0.23
obv,0.489,0.511,0.504,0.495,0.484,0.476,0.468,0.489,0.472,0.501,0.043,0.096,0.046,-0.009,0.69,0.085,0.067,0.019,0.061,0.082,0.043,0.067,0.141,0.163,0.118,0.162,0.182,0.25,0.166,0.073,-0.507,0.637,1.0,0.925,0.581,0.722,0.129,0.018,0.031,0.05,0.022,0.57,-0.253,0.66,0.633,-0.064,-0.081,-0.069,-0.082
obv_ema,0.358,0.374,0.386,0.398,0.409,0.42,0.428,0.433,0.471,0.403,0.012,0.006,0.015,-0.056,0.694,-0.124,-0.126,-0.013,-0.006,0.018,-0.014,-0.026,0.001,0.048,-0.023,0.108,0.169,0.261,0.134,0.038,-0.569,0.651,0.925,1.0,0.578,0.748,0.198,-0.076,-0.077,-0.051,-0.086,0.621,-0.277,0.652,0.655,-0.14,-0.184,-0.175,-0.176
semicon_index,0.151,0.15,0.143,0.136,0.133,0.131,0.129,0.129,0.114,0.137,0.039,0.031,0.127,-0.148,0.738,0.043,0.044,0.008,0.048,0.046,0.032,0.033,0.043,0.051,0.044,0.331,0.251,0.261,0.274,0.024,-0.363,0.919,0.581,0.578,1.0,0.846,0.32,-0.15,-0.197,-0.2,-0.189,0.696,-0.131,0.612,0.634,-0.188,-0.249,-0.256,-0.237
snp500,0.156,0.159,0.157,0.156,0.155,0.155,0.155,0.153,0.161,0.154,0.021,0.068,0.078,-0.073,0.952,-0.019,-0.01,-0.006,0.005,0.013,-0.001,0.054,0.087,0.084,0.082,0.322,0.328,0.408,0.311,0.051,-0.61,0.917,0.722,0.748,0.846,1.0,0.153,-0.157,-0.223,-0.231,-0.206,0.758,-0.295,0.816,0.781,-0.203,-0.292,-0.309,-0.267
sse_composite_index,0.028,0.037,0.031,0.029,0.026,0.03,0.028,0.029,0.032,0.032,0.043,-0.003,0.017,0.035,-0.017,0.02,0.02,0.008,0.025,0.003,0.019,-0.013,-0.011,0.02,-0.028,0.055,0.039,0.074,0.044,0.026,0.233,0.329,0.129,0.198,0.32,0.153,1.0,0.011,0.008,-0.0,0.017,0.13,-0.525,-0.067,0.104,0.005,0.001,-0.013,0.011
trading_amount,0.316,0.326,0.261,0.225,0.199,0.18,0.165,0.208,0.146,0.248,0.041,0.088,-0.024,0.022,-0.163,0.248,0.252,0.123,0.088,0.08,0.104,0.088,0.094,0.102,0.085,-0.015,0.023,0.017,0.005,0.114,0.095,-0.14,0.018,-0.076,-0.15,-0.157,0.011,1.0,0.541,0.408,0.676,-0.116,0.016,-0.191,-0.163,0.98,0.532,0.405,0.665
trading_amount_mv10,0.44,0.45,0.452,0.447,0.437,0.423,0.406,0.418,0.323,0.453,-0.006,0.045,0.004,0.012,-0.232,0.236,0.145,-0.008,0.056,0.071,0.011,-0.005,0.056,0.128,0.02,-0.007,0.005,0.019,0.003,0.129,0.175,-0.185,0.031,-0.077,-0.197,-0.223,0.008,0.541,1.0,0.822,0.848,-0.161,0.009,-0.266,-0.206,0.502,0.969,0.804,0.809
trading_amount_mv20,0.462,0.471,0.477,0.481,0.483,0.484,0.48,0.496,0.444,0.492,-0.01,0.011,-0.034,0.016,-0.244,0.071,0.007,-0.014,-0.012,0.042,-0.023,-0.023,0.007,0.058,-0.02,-0.008,0.003,-0.006,-0.005,-0.035,0.21,-0.176,0.05,-0.051,-0.2,-0.231,-0.0,0.408,0.822,1.0,0.653,-0.175,-0.025,-0.266,-0.206,0.367,0.775,0.962,0.605
trading_amount_mv5,0.401,0.415,0.41,0.39,0.36,0.32,0.275,0.331,0.24,0.389,-0.0,0.07,-0.026,0.003,-0.212,0.299,0.224,0.004,0.077,0.077,0.065,0.001,0.105,0.131,0.057,0.007,0.023,0.023,-0.002,0.191,0.144,-0.179,0.022,-0.086,-0.189,-0.206,0.017,0.676,0.848,0.653,1.0,-0.151,0.015,-0.247,-0.201,0.644,0.829,0.644,0.973
usdtoaud,0.067,0.069,0.074,0.083,0.091,0.098,0.105,0.097,0.127,0.08,0.034,0.015,-0.074,-0.039,0.608,-0.15,-0.126,0.006,0.02,0.044,0.012,0.012,-0.003,-0.016,0.009,0.031,0.143,0.29,0.073,0.078,-0.761,0.794,0.57,0.621,0.696,0.758,0.13,-0.116,-0.161,-0.175,-0.151,1.0,-0.001,0.557,0.871,-0.144,-0.206,-0.232,-0.19
usdtocny,-0.048,-0.052,-0.051,-0.047,-0.045,-0.046,-0.049,-0.046,-0.053,-0.048,-0.01,-0.067,-0.076,0.029,-0.25,0.015,0.0,0.02,0.037,0.054,0.032,-0.029,-0.074,-0.073,-0.057,-0.103,-0.109,-0.15,-0.1,-0.039,-0.071,-0.252,-0.253,-0.277,-0.131,-0.295,-0.525,0.016,0.009,-0.025,0.015,-0.001,1.0,-0.19,-0.12,0.031,0.031,-0.001,0.035
usdtojpy,0.083,0.082,0.079,0.075,0.07,0.065,0.062,0.052,0.039,0.067,-0.001,0.074,0.021,-0.081,0.861,0.02,0.03,-0.013,-0.025,-0.019,-0.021,0.072,0.12,0.106,0.108,0.099,0.013,0.028,0.043,0.083,-0.583,0.637,0.66,0.652,0.612,0.816,-0.067,-0.191,-0.266,-0.266,-0.247,0.557,-0.19,1.0,0.751,-0.233,-0.326,-0.329,-0.303
usdtokrw,0.004,0.006,0.008,0.015,0.021,0.028,0.034,0.016,0.042,0.006,0.043,0.054,-0.042,0.003,0.672,-0.148,-0.113,-0.003,-0.003,0.022,-0.007,0.045,0.029,-0.007,0.046,-0.195,-0.153,-0.019,-0.204,0.127,-0.811,0.746,0.633,0.655,0.634,0.781,0.104,-0.163,-0.206,-0.206,-0.201,0.871,-0.12,0.751,1.0,-0.193,-0.25,-0.256,-0.241
volume,0.207,0.214,0.154,0.121,0.098,0.082,0.07,0.108,0.056,0.142,0.034,0.081,-0.029,0.026,-0.21,0.223,0.233,0.115,0.074,0.064,0.092,0.081,0.081,0.085,0.074,-0.044,-0.002,-0.008,-0.021,0.12,0.115,-0.179,-0.064,-0.14,-0.188,-0.203,0.005,0.98,0.502,0.367,0.644,-0.144,0.031,-0.233,-0.193,1.0,0.528,0.395,0.668
volume_mv10,0.3,0.306,0.304,0.297,0.285,0.27,0.253,0.263,0.176,0.302,-0.01,0.05,0.003,0.012,-0.303,0.237,0.159,-0.008,0.047,0.054,0.007,0.004,0.055,0.114,0.028,-0.046,-0.039,-0.027,-0.039,0.146,0.216,-0.239,-0.081,-0.184,-0.249,-0.292,0.001,0.532,0.969,0.775,0.829,-0.206,0.031,-0.326,-0.25,0.528,1.0,0.816,0.842
volume_mv20,0.32,0.325,0.328,0.329,0.328,0.326,0.321,0.334,0.274,0.337,-0.01,0.022,-0.041,0.017,-0.324,0.104,0.045,-0.011,-0.014,0.031,-0.021,-0.011,0.019,0.058,-0.005,-0.051,-0.046,-0.062,-0.052,-0.025,0.261,-0.236,-0.069,-0.175,-0.256,-0.309,-0.013,0.405,0.804,0.962,0.644,-0.232,-0.001,-0.329,-0.256,0.395,0.816,1.0,0.643
volume_mv5,0.269,0.279,0.271,0.25,0.221,0.183,0.142,0.193,0.116,0.248,-0.005,0.07,-0.031,0.002,-0.275,0.281,0.22,0.004,0.064,0.06,0.059,0.005,0.095,0.113,0.055,-0.026,-0.014,-0.014,-0.039,0.207,0.178,-0.23,-0.082,-0.176,-0.237,-0.267,0.011,0.665,0.809,0.605,0.973,-0.19,0.035,-0.303,-0.241,0.668,0.842,0.643,1.0
